Genus,2_4_May_B,2_6_Feb_B,2_6_May_A,3_1_Feb_A,3_1_May_A,3_2_Feb_A,3_2_May_A,3_3_Feb_A,3_3_May_A,3_4_Feb_A,3_4_May_A,3_5_Feb_A,3_5_May_A,3_6_Feb_A,3_6_May_A,4_1_Apr_B,4_2_Apr_B,4_2_Jan_A,4_3_Apr_B,4_3_Jan_A,4_4_Apr_B,4_4_Jan_A,4_5_Apr_B,4_5_Jan_A,4_6_Apr_B,4_6_Jan_A,5_1_Jan_A,5_2_Apr_A,5_2_Jan_A,5_3_Apr_A,5_3_Jan_A,5_4_Apr_A,5_4_Jan_A,5_5_Apr_B,5_5_Jan_A,5_6_Apr_B,5_6_Jan_A,6_1_May_A,8_7_May_A,8_8_May_A,9_1_Apr_A,9_1_Jan_A,9_2_Apr_A,9_2_Jan_A,9_3_Apr_A,9_3_Jan_A,6_2_May_A,6_6_Feb_A,6_6_May_B,7_1_Feb_A,7_1_May_B,7_2_Feb_B,7_2_May_A,7_3_Feb_A,7_3_May_B,7_4_Feb_B,7_4_May_B,7_5_Feb_A,7_5_May_A,7_6_May_B,8_1_Feb_A,8_2_Feb_A,8_2_May_A,8_3_Feb_A,8_3_May_A,8_4_Feb_A,8_4_May_A,8_5_Feb_B,8_5_May_A,8_6_May_A,8_7_Feb_B
Nitrosomonas,0,2,0,54,0,26,1,1,3,69,1,0,0,91,0,6,2,92,17,107,6,69,7,90,0,5,401,0,830,0,592,0,73,0,77,0,0,0,0,2,62,55,43,79,0,0,0,0,1,3,2,10,2,332,11,763,153,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Nitrospira,0,0,2,120,1,30,1,20,3,47,2,4,5,45,1,46,19,14,36,48,14,12,65,8,3,2,26,0,21,0,40,0,22,0,30,0,0,0,15,446,150,164,180,189,3,5,0,18,1,13,6,29,18,42,25,60,59,4,0,0,1,0,2,0,0,0,0,0,1,0,13
Novosphingobium,46,0,169,30,0,2,0,1,0,6,0,0,0,5,15,0,0,0,6,56,3,0,0,0,3,20,2,0,1,4,2,9,1,14,1,0,4,162,33,33,177,432,147,334,4,1,16,14,2,21,99,16,66,87,55,57,58,36,4,7,0,0,2,13,4,1,0,1,0,1,101
Paenibacillus,19,1,35,33,0,97,1,118,9,80,0,185,6,62,0,0,0,6,0,0,0,12,0,6,1,5,0,7,0,0,1,9,0,22,0,0,1,0,0,0,0,2,6,2,1,0,0,0,0,1170,434,1004,334,245,291,470,215,2,3,0,9,17,3,27,0,2,0,0,3,0,27
Pelomonas,1725,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133,3,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,506,7,0,0,0,0,0,0,0,0,0,0
Phenylobacterium,15,3,0,9,13,10,0,8,0,6,0,0,1,11,12,1,12,0,5,38,3,3,0,0,3,1,5,0,1,8,0,0,0,0,0,0,7,1521,0,4,3,0,5,1,1,2,0,7,0,4,11,3,19,11,15,5,22,7,0,8,0,0,0,0,0,29,5,0,17,77,11
Phreatobacter,399,0,28,72,4,56,4,0,0,50,3,0,0,22,0,10,0,1,2,30,3,10,5,2,8,1,25,0,6,22,25,0,5,0,0,25,3,0,0,3,6,10,7,7,0,0,20,0,0,18,31,68,161,258,132,321,182,0,0,0,0,48,93,315,36,83,601,0,5,0,3
Polaromonas,0,206,24,4,0,4,0,5,6,5,0,3,16,10,6,85,35,38,42,20,48,40,74,22,14,123,0,0,1,0,0,0,0,3,0,0,0,0,12,2,2,1,0,1,2,1,0,4,5,27,37,25,1,8,1,306,30,129,23,0,0,8,0,21,0,0,0,0,0,0,37
Polynucleobacter,0,114,31,5,0,0,0,23,4,11,0,12,4,16,292,1,0,2,4,3,0,2,43,3,641,244,0,0,1,0,3,0,0,0,1,0,0,0,181,1,0,0,0,0,0,13,5,266,131,0,29,59,16,0,18,0,19,564,739,0,3,0,3,30,0,0,0,0,0,0,134
Porphyrobacter,0,2,0,5,2,0,0,0,2,2,0,0,0,4,0,39,11,76,47,12,75,45,33,114,0,1,20,7,25,4,12,63,21,0,25,0,75,1916,0,13,555,122,487,108,0,0,4,0,0,55,0,3,0,0,0,0,0,0,0,0,0,207,244,225,51,85,189,2500,2886,1046,0
Pseudarcicella,0,119,16,0,0,0,0,0,0,0,0,0,0,0,96,0,0,5,0,1,0,1,0,1,143,133,0,0,0,0,1,0,0,0,1,0,0,0,128,0,0,0,0,0,0,1,7,134,48,2,1,17,2,2,1,0,3,158,37,0,0,1,0,14,0,0,0,0,0,0,45
Pseudomonas,4,2,7,66,15,53,63,8,49,172,8,8,174,184,0,74,2673,65,136,426,491,32,57,55,0,47,2,0,21,171,3,24,0,224,0,5,219,2,0,3,6,9,34,2,3,0,0,0,0,49,277,70,317,29,237,74,206,0,4,783,7,4,0,8,0,0,0,0,58,0,3
Reyranella,42,0,7,230,0,59,0,6,2,8,0,2,1,7,2,18,9,14,26,61,12,18,16,11,21,3,10,0,8,0,7,1,15,0,6,1,23,112,10,4,28,80,26,90,9,5,1001,42,3,25,11,15,7,41,21,38,31,0,2,0,4,3,0,12,1,24,4,0,77,202,14
Rhodobacter,34,3,4,67,57,15,0,45,7,6,0,1,6,22,14,76,39,691,135,135,82,444,57,676,43,86,3,0,0,55,1,0,0,0,1,33,859,236,36,1,7,12,19,9,0,1,111,7,1,9,6,50,3,9,2,38,26,18,8,0,2,0,0,0,0,3,5,45,17,0,76
Rhodoferax,0,143,41,18,1,178,7,56,201,47,3,8,173,53,217,9,30,33,100,199,80,114,6,7,57,374,0,0,2,0,3,0,0,0,1,0,0,0,5,8,0,1,0,0,0,5,3,78,13,112,415,153,378,155,443,100,298,388,41,0,0,5,0,13,0,0,0,1,0,0,100
Romboutsia,0,0,22,130,0,174,0,399,10,143,0,794,13,193,0,0,0,9,0,0,0,0,0,21,3,23,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,4,34,3,13,1,4,3,0,1,0,54,63,0,61,0,2,0,1,0,0,108
Roseomonas,0,3,3,9,0,10,0,0,3,7,0,0,0,5,0,354,154,43,200,27,207,12,315,27,0,4,1,0,2,0,3,0,0,9,0,0,452,0,28,0,2,3,4,1,0,0,0,2,0,5,0,10,0,4,1,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,1
Rugamonas,0,0,6,3,0,8,0,13,10,4,0,16,14,7,2,0,0,0,0,0,0,0,0,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,360,20,229,11,149,3,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sediminibacterium,150,183,27,41,0,39,2,5,4,30,1,0,0,17,228,29,28,15,75,68,38,45,21,0,52,83,4,0,12,0,12,0,1,0,1,3,38,0,196,5,64,28,56,26,1,4,95,418,83,85,12,23,14,102,24,62,29,202,135,0,2,4,1,23,0,0,0,0,19,295,27
Sideroxydans,0,1,0,30,0,66,0,0,191,12,0,0,0,4,0,9,58,108,195,358,165,220,0,2,0,1,365,0,197,9,414,0,404,0,0,1,0,0,0,12,60,90,56,145,63,129,3,0,0,403,77,95,70,566,92,453,165,1,0,0,0,32,0,0,0,6,26,0,0,0,0
