SAMPLE ID,Sampling Date,Round,SAMPLE TYPE,TCM,BDCM,DBCM,TBM,DCIM,BCIM,DBIM,CDIM,BDIM,TIM,CP,"1,1-DCP","1,1,1-TCP",CAN,TCAN,DCAN,BAN,BCAN,IAN,DBAN,TCNM,DCAM,BCAM,TCAM,DBAM,MCAA,MBAA,DCAA,BCAA,TCAA,DBAA,BDCAA,CDBAA,TBAA,IAA,CIAA
6-5FEB24,2/26/2024,1,POE,1.317,0.6204,0.251,ND,0.622,1.4604,0.0309,ND,0.0108,0.0114,0.1891,0.1857,0.5105,0.0192,0.0094,0.1779,0.0143,0.0889,0.021,0.4542,0.0264,0.1894,0.0937,0.019,0.0369,0.7732,0.1436,3.1036,ND,1.2909,0.8748,0.4203,0.1832,0.4463,0.2549,0.5127
6-6FEB24,2/26/2024,1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-1FEB24,2/26/2024,1,DWDS,15.9648,0.673,0.0198,ND,1.425,0.1195,0.057,ND,0.0115,0.0079,0.1675,0.2337,0.2414,0.0129,0.0073,0.3062,0.0411,0.0074,ND,0.0272,0.054,0.1351,0.052,0.1503,0.034,3.9182,ND,25.1171,0.1236,16.3686,0.4706,0.3182,0.3027,0.3819,0.2529,0.1428
7-2FEB24,2/26/2024,1,DWDS,16.406,0.6562,0.0153,ND,1.1937,0.1076,0.0439,ND,0.0061,0.0069,0.2163,0.2507,0.2249,0.0119,0.006,0.3154,0.04,0.0065,ND,ND,0.0582,0.1083,0.0422,0.1561,0.0248,1.8356,0.2288,23.4527,0.1316,15.4552,0.4326,0.3186,0.3484,0.369,ND,0.1305
7-3FEB24,2/26/2024,1,DWDS,16.0424,0.6936,0.0192,0.0075,1.0968,0.0909,0.052,0.0091,0.0157,0.007,0.1756,0.2352,0.3596,0.0113,0.0066,0.3238,0.0477,0.0073,ND,ND,0.0552,0.1246,0.0422,0.1506,0.0328,3.1253,0.2558,21.1169,0.2215,14.8653,0.4342,0.3282,0.3959,0.3513,0.2199,0.1409
7-4FEB24,2/26/2024,1,DWDS,15.0732,0.6739,0.0233,ND,NQ,0.1214,0.0602,ND,ND,0.0063,0.2063,0.2336,0.3347,0.027,0.0072,0.3233,0.0787,0.0068,ND,ND,0.0575,ND,0.0452,0.1448,0.0287,7.6956,0.1775,29.8814,0.2136,19.5625,0.5949,0.4528,0.4907,0.3899,1.4526,0.2416
7-5FEB24,2/26/2024,1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-6FEB24,2/26/2024,1,POE,0.0303,0.0061,0.0056,ND,0.9464,0.0362,ND,0.0196,ND,0.0114,0.0508,0.0097,0.0124,0.0121,0.0071,0.0042,0.0228,0.007,ND,ND,0.0062,0.0737,0.0408,0.0113,0.0399,2.0969,ND,0.3476,0.1032,0.171,ND,0.097,0.5243,0.222,0.2827,0.2125
8-1FEB24,2/21/2024,1,POE,2.0391,2.3408,1.3456,ND,0.7753,2.6188,0.0335,0.0263,0.0277,0.0341,0.1968,0.1301,0.2846,0.0155,0.0076,0.1476,0.0244,0.1397,0.0192,0.8327,0.0128,0.0827,0.1492,0.017,0.0722,0.8964,0.2095,4.1999,0.9175,1.0562,2.2962,0.4151,0.4827,0.3175,0.141,0.1359
8-2FEB24,2/21/2024,1,DWDS,6.8769,5.5139,2.4919,ND,0.7921,2.8702,0.0567,0.0267,0.0261,0.015,0.3878,0.0611,0.5314,0.0672,0.0084,0.3955,0.0327,0.2978,0.0572,1.5494,0.0281,0.1886,0.2172,0.0535,0.0749,0.9035,0.1952,7.1555,0.9589,2.3445,2.8706,0.547,0.4709,0.2745,ND,0.1036
8-3FEB24,2/21/2024,1,DWDS,12.3163,7.6915,3.7311,0.1743,NQ,1.6267,0.0308,0.021,0.0313,0.0125,0.6358,0.1498,0.409,0.0585,0.0069,0.3821,0.0222,0.2716,0.0093,1.4735,0.0349,0.1488,0.5243,0.0712,0.1036,1.3505,0.0287,12.45,1.8105,4.7649,4.5666,0.9473,0.6481,0.4663,0.5406,0.1527
8-4FEB24,2/21/2024,1,DWDS,15.4891,8.936,3.4712,0.127,0.6783,1.5338,0.0962,0.0218,0.0369,0.0091,0.8872,0.1755,0.4056,0.0921,0.0105,0.5376,0.0342,0.3485,0.0817,1.4856,0.054,0.1921,0.3849,0.0926,0.0829,2.7361,0.2228,11.4584,0.9891,4.5509,3.558,0.7109,0.5277,0.3572,ND,0.095
8-5FEB24,2/21/2024,1,POE,0.7305,1.0349,3.3044,4.5032,0.5221,0.8319,0.052,0.0157,0.0125,0.0138,0.2168,0.1008,0.0301,0.0076,0.0038,0.0283,0.0116,0.1683,ND,7.5973,0.0037,0.0898,0.1493,ND,0.2541,0.5447,0.4061,1.0136,2.9211,0.2116,1.1366,0.2563,0.2611,0.5467,0.048,0.091
8-6FEB24,2/21/2024,1,DWDS,1.1052,3.0674,10.2404,16.6992,0.5381,0.567,0.0551,0.039,0.0288,0.0043,0.3127,0.1236,0.0299,0.007,0.003,0.0112,0.2382,0.1492,ND,10.4299,0.0041,0.1136,0.6478,0.0187,1.2881,2.0233,0.59,2.59,6.026,0.3711,2.3259,0.3274,0.627,0.8331,0.1752,0.0825
8-7FEB24,2/21/2024,1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-8FEB24,2/21/2024,1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-1JAN24,,1,DWDS,17.282,3.2091,0.445,ND,0.2194,0.0934,0.0356,0.0254,0.0284,0.013,0.9982,0.2489,0.0234,0.0905,0.0153,0.1613,0.0349,0.0812,0.6583,0.1271,0.0277,4.9638,0.7505,0.0406,0.0883,1.3578,0.1475,25.0674,0.289,2.5398,2.7692,0.3188,0.1235,0.6513,0.0487,0.3786
